Year,Mission Name,Mission Type,Mission Status,Country of Origin,,Decade,Flyby,Orbiter,Lander,Rover
1960,Marsnik 1,Flyby,Failed,Soviet Union,,1960,2,,,
1961,,,,,,1970,,3,3,
1962,,,,,,1980,,2,,
1963,,,,,,1990,,2,2,1
1964,Mariner 4,Flyby,Success,USA,,2000,,3,1,2
1965,,,,,,2010,,3,1,1
1966,,,,,,2020,,2,1,2
1967,,,,,,,,,,
1968,,,,,,,,,,
1969,,,,,,,,,,
1970,,,,,,,,,,
1971,Mars 3,Orbiter/Lander,Partial Success,Soviet Union,,,,,,
1972,,,,,,,,,,
1973,,,,,,,,,,
1974,,,,,,,,,,
1975,Viking 1,Orbiter/Lander,Success,USA,,,,,,
1975,Viking 2,Orbiter/Lander,Success,USA,,,,,,
1976,,,,,,,,,,
1977,,,,,,,,,,
1978,,,,,,,,,,
1979,,,,,,,,,,
1980,,,,,,,,,,
1981,,,,,,,,,,
1982,,,,,,,,,,
1983,,,,,,,,,,
1984,,,,,,,,,,
1985,,,,,,,,,,
1986,,,,,,,,,,
1987,,,,,,,,,,
1988,Phobos 1,Orbiter,Failed,Soviet Union,,,,,,
1988,Phobos 2,Orbiter,Partial Success,Soviet Union,,,,,,
1989,,,,,,,,,,
1990,,,,,,,,,,
1991,,,,,,,,,,
1992,,,,,,,,,,
1993,,,,,,,,,,
1994,,,,,,,,,,
1995,,,,,,,,,,
1996,Mars Global Surveyor,Orbiter,Success,USA,,,,,,
1996,Mars Pathfinder,Lander/Rover (Sojourner),Success,USA,,,,,,
1997,,,,,,,,,,
1998,Mars Climate Orbiter,Orbiter,Failed,USA,,,,,,
1998,Mars Polar Lander,Lander,Failed,USA,,,,,,
1999,,,,,,,,,,
2000,,,,,,,,,,
2001,Mars Odyssey,Orbiter,Success,USA,,,,,,
2002,,,,,,,,,,
2003,Mars Express,Orbiter,Success,European Union,,,,,,
2003,Spirit,Rover,Success,USA,,,,,,
2003,Opportunity,Rover,Success,USA,,,,,,
2004,,,,,,,,,,
2005,Mars Reconnaissance Orbiter,Orbiter,Success,USA,,,,,,
2006,,,,,,,,,,
2007,Phoenix,Lander,Success,USA,,,,,,
2008,,,,,,,,,,
2009,,,,,,,,,,
2010,,,,,,,,,,
2011,Curiosity,Rover,Success,USA,,,,,,
2012,,,,,,,,,,
2013,MAVEN,Orbiter,Success,USA,,,,,,
2013,Mars Orbiter Mission (Mangalyaan),Orbiter,Success,India,,,,,,
2014,,,,,,,,,,
2015,,,,,,,,,,
2016,ExoMars Trace Gas Orbiter,Orbiter,Success,European Union/Russia,,,,,,
2017,,,,,,,,,,
2018,InSight,Lander,Success,USA,,,,,,
2019,,,,,,,,,,
2020,Tianwen-1,Orbiter/Lander/Rover,Success,China,,,,,,
2020,Perseverance,Rover,Success,USA,,,,,,
2021,Hope,Orbiter,Success,UAE,,,,,,
